1005,996,996,993,1002,0.17,0,0.01
1006,996,996,993,1002,0.2,0,0.01
1005,996,996,992,1001,0.27,0,0.01
1005,995,995,992,1001,0.3,0,0.01
1005,995,995,992,1001,0.37,0,0.01
1005,992,992,989,1001,0.76,0.01,0.02
1005,990,990,987,1001,1.17,0.01,0.01
1005,989,989,986,1000,1.29,0.01,0.01
1004,987,986,983,1000,1.53,0.01,0
1003,980,978,975,998,2.14,0.01,-0.01
1002,974,971,967,997,2.67,0,-0.02
1002,966,962,957,996,3.06,-0.01,-0.01
1001,953,947,945,994,3.53,-0.01,-0.01
999,927,917,924,992,4.23,-0.02,-0.01
998,906,883,900,991,4.64,-0.01,0.01
998,902,878,896,991,4.75,-0.01,0.01
998,902,878,896,991,4.75,-0.01,0.01
999,902,878,896,991,4.75,-0.01,0.01
998,903,879,897,991,4.75,-0.01,0.01
998,911,891,905,991,4.73,-0.01,0
999,920,905,915,992,4.58,-0.01,0
1000,934,925,931,993,4.33,-0.01,0
1001,951,946,949,995,3.88,-0.01,0
1001,963,962,963,997,3.36,-0.01,-0.01
1002,978,977,975,997,2.64,-0.01,0
1003,984,984,982,998,1.98,-0.01,0
1003,988,989,986,999,1.53,-0.01,0
1004,992,992,989,1000,1.03,-0.01,0.01
1004,994,993,991,1000,0.76,-0.02,0.01
1004,995,995,994,1001,0.01,-0.02,0.01
1005,996,996,994,1001,-0.36,-0.02,0
1005,997,997,995,1001,-0.54,-0.02,-0.01
1005,999,999,997,1002,-1.46,-0.02,0
1005,1000,1000,998,1002,-2.31,-0.02,0
1005,1001,1001,999,1002,-2.98,-0.03,0.01
1006,1002,1002,1000,1001,-3.81,-0.04,0.02
1006,1002,1002,1000,1002,-4.5,-0.05,0.01
1006,1002,1002,1000,1002,-4.77,-0.05,0.01
1006,1003,1002,1000,1002,-4.84,-0.05,0
1006,1002,1002,1000,1003,-4.84,-0.05,0
1006,1003,1002,1000,1002,-4.84,-0.05,0
1005,1003,1002,1001,1002,-4.84,-0.05,0
1006,1002,1002,1000,1002,-4.84,-0.05,0
1006,1002,1002,1001,1002,-4.87,-0.05,0
1006,1003,1002,1000,1002,-5.15,-0.06,0.02
1006,1003,1003,1001,1003,-5.64,-0.07,0.02
1005,1003,1003,1001,1002,-6.4,-0.07,0.01
