Year,Avg_Age,Airline
2016,4.970588235294118,Republic Airline
2017,7.5,Republic Airline
2018,8.5,Republic Airline
2019,9.60897435897436,Republic Airline
2020,10.60897435897436,Republic Airline
2021,11.55625,Republic Airline
2022,12.44378698224852,Republic Airline
2023,12.311688311688311,Republic Airline
2015,6.27027027027027,Horizon Air
2016,7.27027027027027,Horizon Air
2017,6.288888888888889,Horizon Air
2018,6.22,Horizon Air
2019,5.203389830508475,Horizon Air
2020,5.9298245614035086,Horizon Air
2021,6.892857142857143,Horizon Air
2022,7.892857142857143,Horizon Air
2023,7.363636363636363,Horizon Air
2015,8.25531914893617,Mesa Airlines Inc.
2016,6.84375,Mesa Airlines Inc.
2017,7.7384615384615385,Mesa Airlines Inc.
2018,9.32876712328767,Mesa Airlines Inc.
2019,11.08433734939759,Mesa Airlines Inc.
2020,12.08433734939759,Mesa Airlines Inc.
2021,13.107142857142858,Mesa Airlines Inc.
2022,14.107142857142858,Mesa Airlines Inc.
2023,12.982142857142858,Mesa Airlines Inc.
2015,12.604938271604938,ExpressJet Airlines LLC
2016,13.698795180722891,ExpressJet Airlines LLC
2017,13.771428571428572,ExpressJet Airlines LLC
2018,15.2,ExpressJet Airlines LLC
2019,16.2,ExpressJet Airlines LLC
2020,17.2,ExpressJet Airlines LLC
2021,18.2,ExpressJet Airlines LLC
2022,19.2,ExpressJet Airlines LLC
2023,20.2,ExpressJet Airlines LLC
2015,12.604938271604938,ExpressJet Airlines Inc.
2016,13.698795180722891,ExpressJet Airlines Inc.
2017,13.771428571428572,ExpressJet Airlines Inc.
2018,15.2,ExpressJet Airlines Inc.
2019,16.2,ExpressJet Airlines Inc.
2020,17.2,ExpressJet Airlines Inc.
2021,18.2,ExpressJet Airlines Inc.
2022,19.2,ExpressJet Airlines Inc.
2023,20.2,ExpressJet Airlines Inc.
2015,3.6666666666666665,Virgin America
2016,1.5454545454545454,Virgin America
2017,2.5454545454545454,Virgin America
2018,24.333333333333332,Virgin America
2019,30.5,Virgin America
2020,22.0,Virgin America
2021,9.0,Virgin America
2022,10.0,Virgin America
2023,11.0,Virgin America
2015,7.239766081871345,US Airways Inc.
2016,8.239766081871345,US Airways Inc.
2017,9.239766081871345,US Airways Inc.
2018,10.239766081871345,US Airways Inc.
2019,11.239766081871345,US Airways Inc.
2020,12.239766081871345,US Airways Inc.
2021,13.239766081871345,US Airways Inc.
2022,14.239766081871345,US Airways Inc.
2023,15.239766081871345,US Airways Inc.
2015,15.9,AirTran Airways Corporation
2016,16.9,AirTran Airways Corporation
2017,17.9,AirTran Airways Corporation
2018,18.9,AirTran Airways Corporation
2019,20.0,AirTran Airways Corporation
2020,21.0,AirTran Airways Corporation
2021,22.0,AirTran Airways Corporation
2022,23.0,AirTran Airways Corporation
2023,24.0,AirTran Airways Corporation
2015,13.703389830508474,American Eagle Airlines Inc.
2016,11.017486338797815,American Eagle Airlines Inc.
2017,10.329694323144105,American Eagle Airlines Inc.
2018,10.43630214205186,American Eagle Airlines Inc.
2019,10.701442841287458,American Eagle Airlines Inc.
2020,11.27891156462585,American Eagle Airlines Inc.
2021,11.920427553444181,American Eagle Airlines Inc.
2022,12.657375145180023,American Eagle Airlines Inc.
2023,12.351445086705203,American Eagle Airlines Inc.
