Airport,R²,RMSE,Message
ABE,0.0424835538092766,6.658123742623286,Data processed successfully
ABI,0.19776801495895968,5.299358679905866,Data processed successfully
ABQ,0.018371623328193865,12.708232954278385,Data processed successfully
ABR,0.2468012133911066,1.4309055612295678,Data processed successfully
ABY,0.33324538095829714,1.4325907820199248,Data processed successfully
ACK,0.1174624244778324,3.952423892254455,Data processed successfully
ACT,0.22276016006659682,5.102041971712692,Data processed successfully
ACV,0.030728567888382408,8.008807390254635,Data processed successfully
ACY,0.12454540165472139,7.674580914840912,Data processed successfully
ADK,0.20611917102262367,0.6492538820878906,Data processed successfully
ADQ,0.2832309223253192,2.0498581854559337,Data processed successfully
AEX,0.24736077660310907,3.2448110478063854,Data processed successfully
AGS,0.06057398523564583,3.8917094861231036,Data processed successfully
AKN,0.37407529218784696,1.3433449691785484,Data processed successfully
ALB,0.049250142211788694,7.354489985028732,Data processed successfully
ALO,0.24186359401181745,2.7908811550264887,Data processed successfully
ALS,0.3711585924485812,2.498564202390387,Data processed successfully
ALW,0.6230329483776382,1.373418266252,Data processed successfully
AMA,0.06901576108150143,5.546899035660928,Data processed successfully
ANC,0.10080577642079502,10.021140429743676,Data processed successfully
APN,0.44378477228814595,1.7846268157701228,Data processed successfully
ART,0.7503915507315881,3.4915380079485088,Data processed successfully
ASE,0.3186961364548322,27.684233946665795,Data processed successfully
ATL,0.018726127182767782,160.94658501101603,Data processed successfully
ATW,0.05541745184857627,4.0417302159467585,Data processed successfully
ATY,0.4724321829914889,1.4882139663498228,Data processed successfully
AUS,0.015161299451757704,30.304260397981903,Data processed successfully
AVL,0.02299313423153626,10.209899437651535,Data processed successfully
AVP,0.08350899406903145,2.9240299423346334,Data processed successfully
AZA,0.09054262792941337,32.9003713267371,Data processed successfully
AZO,0.09149312705276069,3.4102382920141077,Data processed successfully
BDL,0.09876640661169189,8.678186135139077,Data processed successfully
BET,0.26582117120201065,1.4320777373219746,Data processed successfully
BFF,0.3507109597556647,1.6015619334765323,Data processed successfully
BFL,0.06473821892323017,3.304868839558447,Data processed successfully
BFM,0.3327938724887022,0.7947794915870582,Data processed successfully
BGM,0.18634220763962484,1.7592243331423068,Data processed successfully
BGR,0.08576239675383646,4.217627547658516,Data processed successfully
BHM,0.03122644656165996,8.333486352678138,Data processed successfully
BIH,0.5234451034289871,1.0915068673295336,Data processed successfully
BIL,0.05816501366570359,1.6656496949018202,Data processed successfully
BIS,0.09250867167910803,3.4043689661345136,Data processed successfully
BJI,0.15682531887018447,1.5072139095013617,Data processed successfully
BKG,0.4575816075145702,0.8891299779992312,Data processed successfully
BLI,0.04393866120203571,9.706913314594384,Data processed successfully
BLV,0.11665256048916994,9.085839867669288,Data processed successfully
BMI,0.10238642136333598,2.6575972904652474,Data processed successfully
BNA,0.01627302321027757,49.15414082251433,Data processed successfully
BOI,0.018903708458109625,7.149629712825512,Data processed successfully
BOS,0.0796868439520445,49.78083910751742,Data processed successfully
BPT,0.12225651213969213,2.2944709699654733,Data processed successfully
BQK,0.20253189953981798,1.77204717715122,Data processed successfully
BQN,0.2423903781963277,3.2119027747606723,Data processed successfully
BRD,0.3424600575352298,1.197461493300009,Data processed successfully
BRO,0.06467698533680122,3.0843496367007877,Data processed successfully
BRW,0.18875484034426426,1.4671517010682793,Data processed successfully
BTM,0.1084607425292311,1.3186621844581146,Data processed successfully
BTR,0.07074800937662484,5.890056679907968,Data processed successfully
BTV,0.08249279558497447,4.885299539241532,Data processed successfully
BUF,0.042724319444252146,12.00574918000943,Data processed successfully
BUR,0.022789956728715866,36.64136874519787,Data processed successfully
BWI,0.011235444948127338,86.59733413251406,Data processed successfully
BZN,0.034010440287117416,3.205316325214847,Data processed successfully
CAE,0.09388751897550385,6.31218916316352,Data processed successfully
CAK,0.05056225315747642,4.25210092090785,Data processed successfully
CDB,0.42318315397215545,0.5349347924832765,Data processed successfully
CDC,0.19793345738062207,0.414315637355741,Data processed successfully
CDV,0.294673425392901,1.4053370480439142,Data processed successfully
CEC,0.6108889759632469,1.737630677807435,Data processed successfully
CGI,0.40089618368230817,2.8419409782809284,Data processed successfully
CHA,0.05023959894423391,3.539417407111279,Data processed successfully
CHO,0.04650216379008054,3.729699572578383,Data processed successfully
CHS,0.09212831231760021,8.49942472026824,Data processed successfully
CIC,0.6164442363336065,3.5868799624450336,Data processed successfully
CID,0.046657595673613605,5.372395717845325,Data processed successfully
CIU,0.34249013840928866,1.4278316312021975,Data processed successfully
CKB,0.13980343154703434,1.939713038227297,Data processed successfully
CLD,0.3389880806065969,3.2192154121829524,Data processed successfully
CLE,0.04078859416745706,14.441296229489499,Data processed successfully
CLL,0.14914581307650143,4.255556162381221,Data processed successfully
CLT,0.011999687643177603,136.861590391411,Data processed successfully
CMH,0.02559413262532373,17.187460257941854,Data processed successfully
CMI,0.20027560272016387,8.606965719669288,Data processed successfully
CMX,0.39399222605761874,2.7177656390839853,Data processed successfully
CNY,0.14091694775233188,1.6120959389381726,Data processed successfully
COD,0.21396956314227444,1.4780695503425558,Data processed successfully
COS,0.027338114948911474,5.899221968663606,Data processed successfully
COU,0.09019528264581278,5.324161185569184,Data processed successfully
CPR,0.19453744267583561,3.430054613683278,Data processed successfully
CRP,0.06529166566926303,5.221051840743105,Data processed successfully
CRW,0.06125261859220632,5.813821062235578,Data processed successfully
CSG,0.3042760845113853,1.955951979041607,Data processed successfully
